Your Startup																					
																					
																					
Salaries: 																					
Title	Annual Salary	Benefits	Salary + Fringe	Date Hired 	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
CEO	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
CTO 	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Engineer 1 	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Engineer 2	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Designer	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   	20%	 $ -   		 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Total:	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Number of people in team					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																					
																					
Office: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Rent	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Total:	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
																					
																					
AWS and other services: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Legal Services	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Total:	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
																					
																					
																					
Marketing:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Campaign 1	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Add more	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Total:	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
																					
Total costs:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Total costs 	 $ -   				 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
																					
																					
No monetization																					
Average Monthly Burn	 $ -   																				
Cash Available (Capital)	 $ 500,000.00 																				
How many months you have until cash will be burned totally	#DIV/0!																				
																					
SaaS																					
Average Monthly Burn	 $ -   																				
Cash Available (Capital)	 $ -   																				
Total Revenue from SaaS model	#REF!																				
Capital + Revenue	#REF!																				
How many months you have until cash will be burned totally in Saas Model	#REF!																				
																					
E-commerce																					
Average Monthly Burn	 $ -   																				
Cash Available (Capital)	 $ -   																				
Total Revenue from E-commerce model	 $ 37,257.96 																				
Capital + Revenue	 $ 37,257.96 																				
How many months you have until cash will be burned totally in Saas Model	#DIV/0!																				
