Adventure AI - B2B Model																					
SaaS/EdTech Partnerships																					
																					
Salaries: 																					
Title	Annual Salary	Benefits	Salary + Fringe	Date Hired 	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
CEO (Deferred)	 $ -   	20%	 $ -   	Jan-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Lead Developer	 $ 72,000 	20%	 $ 86,400 	Jan-25	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 86,400 
AI/ML Engineer	 $ 60,000 	20%	 $ 72,000 	Jan-25	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 72,000 
UI/UX Designer	 $ 30,000 	20%	 $ 36,000 	Jan-25	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 36,000 
Content Writer/Educator	 $ 36,000 	20%	 $ 43,200 	Jan-25	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 3,600 	 $ 3,600 	 $ 3,600 	 $ 10,800 	 $ 43,200 
Sales/BD Lead	 $ 60,000 	20%	 $ 72,000 	Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 54,000 
Customer Success Manager	 $ 48,000 	20%	 $ 57,600 	Jul-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 4,800 	 $ 4,800 	 $ 4,800 	 $ 14,400 	 $ 4,800 	 $ 4,800 	 $ 4,800 	 $ 14,400 	 $ 28,800 
Total Salaries:	 $ 306,000 				 $ 19,800 	 $ 19,800 	 $ 19,800 	 $ 59,400 	 $ 25,800 	 $ 25,800 	 $ 25,800 	 $ 77,400 	 $ 30,600 	 $ 30,600 	 $ 30,600 	 $ 91,800 	 $ 30,600 	 $ 30,600 	 $ 30,600 	 $ 91,800 	 $ 320,400 
Number of people in team					4	4	4	4	5	5	5	5	6	6	6	6	6	6	6	6	6
																					
																					
Infrastructure: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Google Cloud Platform (Firebase)	 $ 9,000 			Jan-25	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 750 	 $ 750 	 $ 750 	 $ 2,250 	 $ 9,000 
Google Gemini API Credits	 $ 14,400 			Jan-25	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 1,200 	 $ 1,200 	 $ 1,200 	 $ 3,600 	 $ 14,400 
Multi-tenant Infrastructure	 $ 4,800 			Jan-25	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 4,800 
Domain & SSL	 $ 180 			Jan-25	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 180 
