Adventure AI - B2B Revenue Model	Price	% of Revenue	Cost to Deliver	Margin								
School Subscription (Small)	 $ 1,500 	23%	 $ 300 	 $ 1,200 								
School Subscription (Medium)	 $ 4,000 	14%	 $ 800 	 $ 3,200 								
School Subscription (Large)	 $ 8,000 	0%	 $ 1,600 	 $ 6,400 								
District License (Small)	 $ 25,000 	18%	 $ 5,000 	 $ 20,000 								
White-Label Licensing	 $ 50,000 	36%	 $ 10,000 	 $ 40,000 								
Professional Services	 $ 5,000 	9%	 $ 2,000 	 $ 3,000 								
Average Revenue per Deal	 $ 8,558 											
Average Gross Margin	80%											
												
SCHOOL SUBSCRIPTIONS												
Metric	Jan-25	Feb-25	Mar-25	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25
Pilot Programs (Active)	0	0	2	3	5	6	7	8	8	6	4	2
New Pilots Started	0	0	2	1	2	1	1	1	0	0	0	0
Pilots Converted to Paid	0	0	0	0	0	0	1	1	2	2	3	4
Small Schools (Cumulative Paid)	0	0	0	0	0	0	1	2	3	4	6	8
Medium Schools (Cumulative Paid)	0	0	0	0	0	0	0	0	1	2	3	5
Small School Revenue	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 125 	 $ 250 	 $ 375 	 $ 500 	 $ 750 	 $ 1,000 
Medium School Revenue	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 333 	 $ 667 	 $ 1,000 	 $ 1,667 
Total School Revenue	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 125 	 $ 250 	 $ 708 	 $ 1,167 	 $ 1,750 	 $ 2,667 
												
DISTRICT SUBSCRIPTIONS												
Metric	Jan-25	Feb-25	Mar-25	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25
District Pilots (Active)	0	0	0	1	1	2	2	2	2	2	2	1
New District Pilots	0	0	0	1	0	1	0	0	0	0	0	0
Districts Converted to Paid	0	0	0	0	0	0	0	0	0	0	0	1
Paid Districts (Cumulative)	0	0	0	0	0	0	0	0	0	0	0	1
District Revenue	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 12,500 
Total District Revenue	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 12,500 
												
EDTECH PARTNERSHIPS												
Metric	Jan-25	Feb-25	Mar-25	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25
LMS Integration Partners	0	0	0	0	0	0	1	1	1	1	1	2
Active Users via Partners	0	0	0	0	0	0	50	100	200	300	400	500
