Adventure AI - B2C Model																					
Subscription + Advertising Revenue																					
																					
Salaries: 																					
Title	Annual Salary	Benefits	Salary + Fringe	Date Hired 	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
CEO (Deferred)	 $ -   	20%	 $ -   	Jan-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   
Lead Developer	 $ 72,000 	20%	 $ 86,400 	Jan-25	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 7,200 	 $ 7,200 	 $ 7,200 	 $ 21,600 	 $ 86,400 
AI/ML Engineer	 $ 60,000 	20%	 $ 72,000 	Jan-25	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 6,000 	 $ 6,000 	 $ 6,000 	 $ 18,000 	 $ 72,000 
UI/UX Designer	 $ 30,000 	20%	 $ 36,000 	Jan-25	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 3,000 	 $ 3,000 	 $ 3,000 	 $ 9,000 	 $ 36,000 
Content Writer/Educator	 $ 24,000 	20%	 $ 28,800 	Jan-25	 $ 2,400 	 $ 2,400 	 $ 2,400 	 $ 7,200 	 $ 2,400 	 $ 2,400 	 $ 2,400 	 $ 7,200 	 $ 2,400 	 $ 2,400 	 $ 2,400 	 $ 7,200 	 $ 2,400 	 $ 2,400 	 $ 2,400 	 $ 7,200 	 $ 28,800 
Customer Support (Part-time)	 $ 18,000 	20%	 $ 21,600 	Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 1,800 	 $ 1,800 	 $ 1,800 	 $ 5,400 	 $ 1,800 	 $ 1,800 	 $ 1,800 	 $ 5,400 	 $ 1,800 	 $ 1,800 	 $ 1,800 	 $ 5,400 	 $ 16,200 
Total Salaries:	 $ 204,000 				 $ 18,600 	 $ 18,600 	 $ 18,600 	 $ 55,800 	 $ 20,400 	 $ 20,400 	 $ 20,400 	 $ 61,200 	 $ 20,400 	 $ 20,400 	 $ 20,400 	 $ 61,200 	 $ 20,400 	 $ 20,400 	 $ 20,400 	 $ 61,200 	 $ 239,400 
Number of people in team					4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5
																					
																					
Infrastructure: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Google Cloud Platform (Firebase)	 $ 6,000 			Jan-25	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 6,000 
Google Gemini API Credits	 $ 9,600 			Jan-25	 $ 800 	 $ 800 	 $ 800 	 $ 2,400 	 $ 800 	 $ 800 	 $ 800 	 $ 2,400 	 $ 800 	 $ 800 	 $ 800 	 $ 2,400 	 $ 800 	 $ 800 	 $ 800 	 $ 2,400 	 $ 9,600 
Domain & SSL	 $ 180 			Jan-25	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 180 
CDN (Cloudflare Pro)	 $ 240 			Jan-25	 $ 20 	 $ 20 	 $ 20 	 $ 60 	 $ 20 	 $ 20 	 $ 20 	 $ 60 	 $ 20 	 $ 20 	 $ 20 	 $ 60 	 $ 20 	 $ 20 	 $ 20 	 $ 60 	 $ 240 
Error Monitoring (Sentry)	 $ 312 			Jan-25	 $ 26 	 $ 26 	 $ 26 	 $ 78 	 $ 26 	 $ 26 	 $ 26 	 $ 78 	 $ 26 	 $ 26 	 $ 26 	 $ 78 	 $ 26 	 $ 26 	 $ 26 	 $ 78 	 $ 312 
